Data,Índice Geral de Preços - IGP-DI (161384)
11/2020,"917,538"
12/2020,"924,504"
01/2021,"951,395"
02/2021,"977,133"
03/2021,"998,344"
04/2021,"1020,495"
05/2021,"1055,167"
06/2021,"1056,343"
07/2021,"1071,615"
08/2021,"1070,147"
09/2021,"1064,31"
10/2021,"1081,301"
11/2021,"1075,022"
12/2021,"1088,489"
01/2022,"1110,398"
02/2022,"1127,077"
03/2022,"1153,777"
04/2022,"1158,546"
05/2022,"1166,542"
